KEGG_ID	CoA_names	carnitine_names
C00010	CoA; Coenzyme A; CoA-SH	carnitine; carnitine; carnitine-SH
C00024	Acetyl-CoA; Acetyl coenzyme A; Acetoyl-CoA; Acetyl coenzyme A	Acetyl-carnitine; Acetyl carnitine; Acetoyl-carnitine; Acetyl carnitine
C00040	Acyl-CoA; Acyl coenzyme A; Acoyl-CoA; Acyl coenzyme A	Acyl-carnitine; Acyl carnitine; Acoyl-carnitine; Acyl carnitine
C00083	Malonyl-CoA; Malonyl coenzyme A; Malonoyl-CoA; Malonyl coenzyme A	Malonyl-carnitine; Malonyl carnitine; Malonoyl-carnitine; Malonyl carnitine
C00091	Succinyl-CoA; Succinyl coenzyme A; Succinoyl-CoA; Succinyl coenzyme A	Succinyl-carnitine; Succinyl carnitine; Succinoyl-carnitine; Succinyl carnitine
C00100	Propanoyl-CoA; Propionyl-CoA; Propionyl coenzyme A	Propanoyl-carnitine; Propionyl-carnitine; Propionyl carnitine
C00136	Butanoyl-CoA; Butyryl-CoA	Butanoyl-carnitine; Butyryl-carnitine
C00154	Palmitoyl-CoA; Hexadecanoyl-CoA; Palmityl-CoA; Hexadecanyl-CoA	Palmitoyl-carnitine; Hexadecanoyl-carnitine; Palmityl-carnitine; Hexadecanyl-carnitine
C00223	p-Coumaroyl-CoA; 4-Coumaroyl-CoA; 4-Hydroxycinnamoyl-CoA; trans-4-Coumaroyl-CoA; (E)-4-Coumaroyl-CoA; p-Coumaryl-CoA; 4-Coumaryl-CoA; 4-Hydroxycinnamyl-CoA; trans-4-Coumaryl-CoA; (E)-4-Coumaryl-CoA	p-Coumaroyl-carnitine; 4-Coumaroyl-carnitine; 4-Hydroxycinnamoyl-carnitine; trans-4-Coumaroyl-carnitine; (E)-4-Coumaroyl-carnitine; p-Coumaryl-carnitine; 4-Coumaryl-carnitine; 4-Hydroxycinnamyl-carnitine; trans-4-Coumaryl-carnitine; (E)-4-Coumaryl-carnitine
C00264	3-Oxoacyl-CoA; 3-Oxoacoyl-CoA	3-Oxoacyl-carnitine; 3-Oxoacoyl-carnitine
C00313	Oxalyl-CoA; Oxaloyl-CoA	Oxalyl-carnitine; Oxaloyl-carnitine
C00323	Caffeoyl-CoA; (2E)-3-(3,4-Dihydroxyphenyl)prop-2-enoyl-CoA; Caffeyl-CoA; (2E)-3-(3,4-Dihydroxyphenyl)prop-2-enyl-CoA	Caffeoyl-carnitine; (2E)-3-(3,4-Dihydroxyphenyl)prop-2-enoyl-carnitine; Caffeyl-carnitine; (2E)-3-(3,4-Dihydroxyphenyl)prop-2-enyl-carnitine
C00332	Acetoacetyl-CoA; Acetoacetyl coenzyme A; 3-Acetoacetyl-CoA; Acetoacetoyl-CoA; Acetoacetyl coenzyme A; 3-Acetoacetoyl-CoA	Acetoacetyl-carnitine; Acetoacetyl carnitine; 3-Acetoacetyl-carnitine; Acetoacetoyl-carnitine; Acetoacetyl carnitine; 3-Acetoacetoyl-carnitine
C00356	(S)-3-Hydroxy-3-methylglutaryl-CoA; Hydroxymethylglutaryl-CoA; Hydroxymethylglutaroyl coenzyme A; HMG-CoA; 3-Hydroxy-3-methylglutaryl-CoA; (S)-3-Hydroxy-3-methylglutaroyl-CoA; Hydroxymethylglutaroyl-CoA; Hydroxymethylglutaroyl coenzyme A; HMG-CoA; 3-Hydroxy-3-methylglutaroyl-CoA	(S)-3-Hydroxy-3-methylglutaryl-carnitine; Hydroxymethylglutaryl-carnitine; Hydroxymethylglutaroyl carnitine; HMG-carnitine; 3-Hydroxy-3-methylglutaryl-carnitine; (S)-3-Hydroxy-3-methylglutaroyl-carnitine; Hydroxymethylglutaroyl-carnitine; Hydroxymethylglutaroyl carnitine; HMG-carnitine; 3-Hydroxy-3-methylglutaroyl-carnitine
C00406	Feruloyl-CoA; trans-Feruloyl-CoA; 4-Hydroxy-3-methoxycinnamoyl-CoA; (E)-3-(4-Hydroxy-3-methoxyphenyl)propenoyl-CoA; Ferulyl-CoA; trans-Ferulyl-CoA; 4-Hydroxy-3-methoxycinnamyl-CoA; (E)-3-(4-Hydroxy-3-methoxyphenyl)propenyl-CoA	Feruloyl-carnitine; trans-Feruloyl-carnitine; 4-Hydroxy-3-methoxycinnamoyl-carnitine; (E)-3-(4-Hydroxy-3-methoxyphenyl)propenoyl-carnitine; Ferulyl-carnitine; trans-Ferulyl-carnitine; 4-Hydroxy-3-methoxycinnamyl-carnitine; (E)-3-(4-Hydroxy-3-methoxyphenyl)propenyl-carnitine
C00411	Sinapoyl-CoA; Sinapyl-CoA	Sinapoyl-carnitine; Sinapyl-carnitine
C00412	Stearoyl-CoA; Stearyl-CoA; Stearyl coenzyme A; Octadecanoyl-CoA	Stearoyl-carnitine; Stearyl-carnitine; Stearyl carnitine; Octadecanoyl-carnitine
C00510	Oleoyl-CoA; (9Z)-Octadecenoyl-CoA; Oleyl-CoA; (9Z)-Octadecenyl-CoA	Oleoyl-carnitine; (9Z)-Octadecenoyl-carnitine; Oleyl-carnitine; (9Z)-Octadecenyl-carnitine
C00512	Benzoyl-CoA; S-Benzoyl-coenzyme A; Benzyl-CoA; S-Benzoyl-coenzyme A	Benzoyl-carnitine; S-Benzoyl-carnitine; Benzyl-carnitine; S-Benzoyl-carnitine
C00527	Glutaryl-CoA; Glutaroyl-CoA	Glutaryl-carnitine; Glutaroyl-carnitine
C00531	Itaconyl-CoA; Itaconoyl-CoA	Itaconyl-carnitine; Itaconoyl-carnitine
C00540	Cinnamoyl-CoA; S-(Cinnamoyl) coenzyme A; Cinnamyl-CoA; S-(Cinnamoyl) coenzyme A	Cinnamoyl-carnitine; S-(Cinnamoyl) carnitine; Cinnamyl-carnitine; S-(Cinnamoyl) carnitine
C00566	(3S)-Citryl-CoA; (3S)-Citroyl-CoA	(3S)-Citryl-carnitine; (3S)-Citroyl-carnitine
C00582	Phenylacetyl-CoA; Phenylacetyl coenzyme A; Phenylacetoyl-CoA; Phenylacetyl coenzyme A	Phenylacetyl-carnitine; Phenylacetyl carnitine; Phenylacetoyl-carnitine; Phenylacetyl carnitine
C00605	2,3-Dehydroacyl-CoA; Dehydroacyl-CoA; 2,3-Dehydroacoyl-CoA; Dehydroacoyl-CoA	2,3-Dehydroacyl-carnitine; Dehydroacyl-carnitine; 2,3-Dehydroacoyl-carnitine; Dehydroacoyl-carnitine
C00630	2-Methylpropanoyl-CoA; 2-Methylpropionyl-CoA; Isobutyryl-CoA	2-Methylpropanoyl-carnitine; 2-Methylpropionyl-carnitine; Isobutyryl-carnitine
C00640	(3S)-3-Hydroxyacyl-CoA; (S)-3-Hydroxyacyl-CoA; (3S)-3-Hydroxyacoyl-CoA; (S)-3-Hydroxyacoyl-CoA	(3S)-3-Hydroxyacyl-carnitine; (S)-3-Hydroxyacyl-carnitine; (3S)-3-Hydroxyacoyl-carnitine; (S)-3-Hydroxyacoyl-carnitine
